"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","NComunidad","NivEcono","Reuniones","AsisEvento","Mercadillos","FrecuReu","AsisIntroverEvento","Regulaccion","EspacioEvento[SQ001]","EspacioEvento[SQ002]","EspacioEvento[SQ003]","EspacioEvento[SQ004]","EspacioEvento[SQ005]","EspacioEvento[SQ006]","ReuActividades[SQ001]","ReuActividades[SQ002]","ReuActividades[SQ003]","ReuActividades[SQ004]","ReuActividades[SQ005]","ReuActividades[SQ006]","ReuActividades[SQ007]","ReuActividades[SQ008]","ReuActividades[SQ009]","ReuActividades[SQ010]","PropiaMoneda","EsCripto","Intercambio[SQ001]","Intercambio[SQ002]","Intercambio[SQ003]","Intercambio[SQ004]","Intercambio[SQ005]","Goods[0]","Goods[0comment]","Goods[2]","Goods[2comment]","Goods[3]","Goods[3comment]","Goods[4]","Goods[4comment]","Goods[5]","Goods[5comment]","Goods[6]","Goods[6comment]","Goods[7]","Goods[7comment]","Goods[8]","Goods[8comment]","Goods[9]","Goods[9comment]","MonedaIntercambiable","MonedaIntercambiable[comment]","EjeSocial","EjeEcono","EjePolitico","interviewtime","groupTime1","NComunidadTime","NivEconoTime","ReunionesTime","AsisEventoTime","MercadillosTime","FrecuReuTime","AsisIntroverEventoTime","RegulaccionTime","EspacioEventoTime","ReuActividadesTime","groupTime3","PropiaMonedaTime","EsCriptoTime","IntercambioTime","GoodsTime","MonedaIntercambiableTime","groupTime4","EjeSocialTime","EjeEconoTime","EjePoliticoTime"
"15","","0","es-CO","1073564955","2022-10-10 12:13:39","2022-10-10 12:13:39","176.84.148.30","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"16","","0","es-CO","852266937","2022-10-10 13:22:20","2022-10-10 13:22:20","31.4.209.142","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"17","","0","es-CO","1347414871","2022-10-10 15:29:40","2022-10-10 15:30:03","87.125.143.58","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","22.77","22.77","","","","","","","","","","","","","","","","","","","",""
"18","2022-10-10 16:01:00","3","es-CO","","2022-10-10 15:53:00","2022-10-10 16:01:00","83.59.168.40","G1GRAN CANARIA ","7","Sí","Entre 20 - 50","Sí","8","8","8","Generalmente","Algunas veces","","","","","Siempre","Algunas veces","Algunas veces","Algunas veces","","","Generalmente","Siempre","Generalmente","","Sí","","N/A","N/A","N/A","N/A","Sí","Sí","","N/A","","Sí","","N/A","","N/A","","N/A","","N/A","","N/A","","Sí","","No","","Algo Progresista","Libre mercado total","Acracia ligera","508.14","241.87","","","","","","","","","","","168.82","","","","","","97.45","","",""
"19","","0","es-CO","1704085608","2022-10-10 15:53:30","2022-10-10 15:53:30","83.57.165.177","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"20","2022-10-10 15:59:00","3","es-CO","","2022-10-10 15:53:00","2022-10-10 15:59:00","2606:54c0:2380:88::31:b7","Moneda libre G1","8","Sí","Entre 20 - 50","Sí","8","6","8","Generalmente","Nunca","Nunca","Nunca","Nunca","Generalmente","Generalmente","Pocas veces","Algunas veces","Pocas veces","Nunca","Pocas veces","Algunas veces","Generalmente","Pocas veces","Generalmente","Sí","No","N/A","N/A","Sí","N/A","N/A","Sí","Preferentemente ","Sí","Muy frecuentemente ","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","No","","Algo Progresista","Libre mercado total","Acracia total","339.82","189.82","","","","","","","","","","","102.13","","","","","","47.87","","",""
"21","2022-10-10 17:01:32","3","es-CO","777654061","2022-10-10 16:55:21","2022-10-10 17:01:32","109.190.42.132","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","No","","No","","No","","No","","No","","No","","No","","No","","No","","","","","","","372.22","126.83","","","","","","","","","","","64.22","","","","","","181.17","","",""
"22","","0","es-CO","592385754","2022-10-10 18:04:52","2022-10-10 18:04:52","31.221.190.89","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"23","","0","es-CO","37625063","2022-10-11 19:51:57","2022-10-11 19:51:57","83.57.27.67","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"24","","0","es-CO","1762736261","2022-10-12 05:09:28","2022-10-12 05:09:41","91.126.24.181","","","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","13.59","13.59","","","","","","","","","","","","","","","","","","","",""
"25","2022-10-12 05:43:00","3","es-CO","","2022-10-12 05:37:00","2022-10-12 05:43:00","139.47.40.222","Moneda Libre Ğ1","0","Sí","Entre 50 - 100","Sí","7","9","10","Generalmente","Pocas veces","Algunas veces","Pocas veces","Algunas veces","Generalmente","Generalmente","Generalmente","Generalmente","Algunas veces","Pocas veces","Algunas veces","Siempre","Siempre","Generalmente","Generalmente","Sí","Sí","N/A","N/A","N/A","Sí","N/A","Sí","","Sí","","Sí","","N/A","","N/A","","N/A","","N/A","","Sí","","Sí","","No","","En medio","Libre mercado total","Acracia total","333.33","185.77","","","","","","","","","","","78.48","","","","","","69.08","","",""
"26","","1","es-CO","","2022-10-12 14:12:00","2022-10-12 14:15:00","181.117.228.88","Moneda Libre G1","3","Sí","Entre 10 - 20","Sí","9","5","5","Generalmente","Nunca","Pocas veces","Nunca","Nunca","Nunca","Nunca","Nunca","Generalmente","Nunca","Nunca","Nunca","Generalmente","Generalmente","Algunas veces","Algunas veces","","","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","N/A","","","","","","","204.56","204.56","","","","","","","","","","","","","","","","","","","",""
"27","2022-10-12 16:10:00","3","es-CO","","2022-10-12 16:03:00","2022-10-12 16:10:00","176.156.59.136","Moneda Libre G1","5","Sí","Entre 50 - 100","","6","6","9","Pocas veces","Algunas veces","Pocas veces","Algunas veces","Generalmente","Generalmente","Siempre","Algunas veces","Siempre","Generalmente","Algunas veces","Algunas veces","Siempre","Siempre","Siempre","Generalmente","Sí","Sí","N/A","N/A","N/A","Sí","N/A","Sí","","Sí","","Sí","","Sí","","N/A","","N/A","","N/A","","Sí","","Sí","","No","","En medio","Libre mercado regulado","Acracia ligera","403.17","220.39","","","","","","","","","","","100.48","","","","","","82.3","","",""
"28","2022-10-12 23:11:00","3","es-CO","","2022-10-12 23:05:00","2022-10-12 23:11:00","139.47.89.156","G1","6","Sí","Entre 100 - 200","Sí","10","3","8","Generalmente","Generalmente","Siempre","Pocas veces","Algunas veces","Algunas veces","Siempre","Algunas veces","Siempre","Pocas veces","Algunas veces","Algunas veces","Siempre","Siempre","Algunas veces","Algunas veces","Sí","Sí","N/A","N/A","N/A","Sí","N/A","Sí","Conservas ","Sí","Usada","N/A","","N/A","","N/A","","Sí","Viajes","N/A","","N/A","","N/A","","No","No admite cambio ","Progresista","Libre mercado total","Acracia total","367.12","178.52","","","","","","","","","","","115.45","","","","","","73.15","","",""
